code,energy_kcal_100g,energy_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g,predict
20675400,469.0,1962.0,24.1,4.7,50.6,39.1,9.8,0.0,0.0,2
0729062144858,43.181818181818,181.0,0.0,0.0,9.0909090909091,2.2727272727273,3.4090909090909,0.0,0.0,1
645112490167,202.82544665691,849.0,9.7003474488086,8.8184976807351,16.755145593397,16.755145593397,1.763699536147,0.0,0.0,3
1256127252016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5060207697316,1.0,4.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,1
8851351932913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2272932004144,223.0,933.0,13.02,2.8,2.7,1.0,22.7,1.11,0.444,3
35826041098,357.0,1494.0,1.79,0.0,75.0,3.57,12.5,0.0,0.0,2
3332930440128,140.0,584.0,9.8,2.6,0.5,0.5,13.0,0.3,0.12,3
3412290009798,116.0,485.0,8.0,5.4,4.1,4.1,7.0,0.1,0.04,1
3418011283010,415.0,1736.0,13.0,5.7,70.0,44.0,3.4,0.35,0.14,2
2694920012076,107.0,448.0,3.0,1.0,0.3,0.3,20.0,1.9,0.76,1
3242611111226,285.0,1192.0,0.01,0.01,71.0,71.0,0.0,0.0,0.0,3
3297760080008,0.0,581.0,7.3,5.3,14.8,13.2,2.2,0.0199898,0.00799592,3
